ID,性别,专业,学历,毕业去向,就业行业,岗位类型,工作城市,城市等级,期望薪资,实际薪资,期望薪资达成率,是否有实习经历,专业-行业匹配度,学历-岗位匹配度,满意度评分,岗位ID
3462,男,汉语言文学,硕士,自由职业,文化传媒,自由撰稿人,南京,新一线,12500,12300,0.984,是,中,中,3,JOB00423366BE
3463,男,法学,硕士,公务员,政府机关,基层治理专员,北京,一线,5000,7400,1.48,是,高,中,5,JOB349ECEEE2D
3464,男,土木工程,硕士,就业,房地产,招商主管,武汉,新一线,9000,10900,1.211,否,中,中,4,JOBE67A362E6E
3465,男,机械工程,本科,就业,互联网,运营专员,深圳,一线,5000,6700,1.34,否,低,中,3,JOB4AF13194EA
3466,男,机械工程,博士,考研,科研,博士后科研助理,深圳,一线,8000,8400,1.05,是,中,高,4,JOBA4ECAA4E99
3467,女,土木工程,本科,公务员,政府,选调生,杭州,新一线,10000,9200,0.92,是,低,中,3,JOBD47EB34C37
3468,女,环境工程,硕士,自由职业,文化传媒,独立咨询顾问,成都,新一线,11000,8600,0.782,否,低,中,2,JOBBB831DCD1D
3469,女,金融学,博士,自由职业,文化传媒,独立咨询顾问,广州,一线,4500,5300,1.178,是,低,中,4,JOBF07FDFA5E8
3470,女,土木工程,博士,出国,教育,海外研究生,广州,一线,5000,4000,0.8,否,低,高,2,JOB21BB64DB54
3471,男,计算机,博士,公务员,政府机关,政策研究员,广州,一线,12000,16400,1.367,是,低,高,4,JOB78269178D9
3472,男,机械工程,本科,出国,制造业,海外研究生,青岛,新一线,6500,4400,0.677,否,高,中,3,JOB0644EB246E
3473,男,汉语言文学,硕士,公务员,政府机关,选调生,上海,一线,4500,6600,1.467,是,中,中,4,JOB3E3FDC1BDA
3474,女,金融学,本科,自由职业,教育,独立咨询顾问,深圳,一线,13500,11500,0.852,否,低,中,2,JOBEE816B2024
3475,男,临床医学,硕士,出国,医疗,海外研究助理,上海,一线,14000,17600,1.257,否,高,高,5,JOBE9B68A5522
3476,男,机械工程,本科,就业,建筑,BIM工程师,成都,新一线,5000,5300,1.06,是,中,中,4,JOBB616092755
3477,女,环境工程,硕士,考研,教育,博士后科研助理,上海,一线,4500,3600,0.8,是,低,高,3,JOB6265F67F1C
3478,男,环境工程,硕士,出国,制造业,海外研究助理,南京,新一线,11000,9800,0.891,否,高,高,3,JOBAF50DC95CD
3479,男,机械工程,博士,创业,制造业,联合创始人,杭州,新一线,14500,20600,1.421,是,高,中,5,JOBF472E93BD2
3480,女,市场营销,博士,创业,互联网,项目负责人,上海,一线,8500,17500,2.059,否,高,中,5,JOBFF35DA6DFB
3481,男,计算机,硕士,公务员,政府,公共事务助理,北京,一线,11000,13800,1.255,是,低,中,4,JOB82CF1992C9
3482,男,环境工程,博士,考研,科研,博士后科研助理,青岛,新一线,12000,8300,0.692,否,低,高,2,JOBD415363373
3483,男,汉语言文学,本科,出国,教育,海外研究生,广州,一线,7500,4500,0.6,否,高,中,3,JOB21BB64DB54
3484,男,市场营销,本科,考研,科研,硕士研究生,北京,一线,14000,10300,0.736,是,低,中,1,JOB41919EDEE6
3485,女,汉语言文学,博士,就业,政府机关,公务员,广州,一线,4000,5300,1.325,否,中,中,4,JOBDC24868B86
3486,女,土木工程,本科,考研,教育,硕士研究生,北京,一线,4000,2500,0.625,是,低,中,2,JOBC0DCD81A4C
3487,女,土木工程,本科,出国,科研,海外项目助理,上海,一线,6000,5000,0.833,否,低,中,2,JOB606979150B
3488,男,环境工程,博士,自由职业,文化传媒,自由职业者,西安,新一线,14000,11300,0.807,否,低,中,3,JOBEB469126F3
3489,女,机械工程,博士,自由职业,制造业,独立咨询顾问,南京,新一线,10000,15700,1.57,是,高,中,5,JOB709349B140
3490,男,环境工程,本科,考研,科研,硕士研究生,武汉,新一线,4000,2600,0.65,是,低,中,2,JOBB78D3DD1D3
3491,女,法学,博士,出国,科研,海外项目助理,北京,一线,7000,6700,0.957,是,低,高,2,JOBD06FAB814B
3492,男,临床医学,硕士,创业,医疗,联合创始人,上海,一线,14500,20800,1.434,否,高,高,5,JOBCCF571FDA5
3493,男,市场营销,本科,出国,互联网,海外项目助理,广州,一线,9500,9300,0.979,否,高,中,4,JOB77D9E3CDD8
3494,女,金融学,博士,自由职业,金融,自由职业者,上海,一线,9000,19900,2.211,是,高,中,5,JOBE410146807
3495,男,临床医学,硕士,自由职业,文化传媒,自由职业者,成都,新一线,6500,5700,0.877,是,低,中,2,JOBAC829F0413
3496,女,汉语言文学,博士,出国,教育,海外项目助理,武汉,新一线,15000,16000,1.067,是,高,高,5,JOBBA2A58A18C
3497,女,计算机,硕士,考研,科研,博士研究生,北京,一线,13500,12100,0.896,是,中,高,3,JOB9E2EB30906
3498,女,土木工程,博士,出国,建筑,海外研究助理,武汉,新一线,10000,10800,1.08,是,高,高,5,JOB84BC9F912F
3499,女,机械工程,硕士,出国,教育,海外研究生,深圳,一线,10500,9100,0.867,是,低,高,3,JOB5929F5E6B9
3500,女,机械工程,本科,自由职业,制造业,自由职业者,武汉,新一线,5000,5200,1.04,是,高,中,4,JOBAF1DDDE453
3501,男,机械工程,博士,创业,制造业,联合创始人,成都,新一线,14000,19600,1.4,是,高,中,5,JOBC8608B56AF
3502,男,电子信息,硕士,考研,科研,博士后科研助理,南京,新一线,13000,11300,0.869,是,中,高,3,JOB4735F4166E
3503,男,环境工程,硕士,自由职业,文化传媒,自由职业者,广州,一线,5000,5800,1.16,是,低,中,3,JOB8E4F7A0EE0
3504,男,法学,本科,公务员,政府机关,政策研究员,北京,一线,5000,5800,1.16,否,高,低,4,JOB91339CBBE8
3505,男,金融学,博士,出国,金融,海外管培生,西安,新一线,6500,7600,1.169,否,高,高,5,JOBA0AA0C9281
3506,男,电子信息,本科,创业,互联网,联合创始人,成都,新一线,8000,9200,1.15,否,高,中,4,JOB7FC0ED0694
3507,女,市场营销,本科,就业,文化传媒,文案策划,杭州,新一线,4500,4300,0.956,否,中,中,3,JOBF14C6744E6
3508,女,环境工程,硕士,公务员,政府机关,政策研究员,西安,新一线,5500,5300,0.964,是,低,中,3,JOB53FA2F9791
3509,女,金融学,本科,创业,金融,产品创业者,广州,一线,9500,13200,1.389,是,高,中,5,JOB1DA8CFE32A
3510,女,计算机,本科,自由职业,教育,独立开发者,北京,一线,11000,10300,0.936,否,低,中,2,JOBD511A72AFC
3511,女,机械工程,本科,公务员,政府机关,政策研究员,北京,一线,14500,13400,0.924,否,低,低,2,JOB91339CBBE8
3512,男,机械工程,本科,出国,教育,海外项目助理,深圳,一线,13000,8600,0.662,否,低,中,2,JOB84D7FD5B17
3513,女,临床医学,硕士,出国,医疗,海外项目助理,上海,一线,12000,15800,1.317,是,高,高,5,JOB08DA831D8C
3514,男,汉语言文学,本科,出国,教育,海外项目助理,深圳,一线,4000,2700,0.675,否,高,中,3,JOB84D7FD5B17
3515,女,土木工程,本科,就业,建筑,BIM工程师,广州,一线,13500,18900,1.4,是,高,中,4,JOB411EDF850F
3516,女,法学,硕士,就业,政府,行政专员,杭州,新一线,12500,16200,1.296,是,中,中,4,JOB139F9AEC12
3517,男,土木工程,博士,考研,科研,博士后科研助理,北京,一线,6000,5800,0.967,否,低,高,2,JOBD7FDCCB547
3518,男,环境工程,硕士,考研,科研,博士后科研助理,武汉,新一线,6500,4500,0.692,否,低,高,2,JOBA0C27ACE0B
3519,男,市场营销,硕士,公务员,政府机关,行政专员,北京,一线,8000,9700,1.212,否,低,中,3,JOB2F6672EA52
3520,男,汉语言文学,本科,考研,教育,硕士研究生,青岛,新一线,13000,7400,0.569,否,高,中,3,JOBCC16E0C730
3521,女,金融学,博士,考研,科研,博士后科研助理,上海,一线,14000,14700,1.05,是,低,高,4,JOB3729425ACC
3522,男,市场营销,博士,就业,互联网,数据分析师,广州,一线,10500,21600,2.057,是,高,中,4,JOB1DEA72208F
3523,男,土木工程,博士,出国,建筑,海外研究生,成都,新一线,6500,7100,1.092,是,高,高,4,JOB2EC9850176
3524,男,土木工程,硕士,就业,制造业,质量工程师,深圳,一线,12500,17700,1.416,是,中,中,4,JOB97C42AEEF5
3525,女,环境工程,本科,创业,制造业,项目负责人,广州,一线,7000,7100,1.014,否,高,中,4,JOB96AD50F152
3526,女,法学,本科,自由职业,文化传媒,项目制顾问,广州,一线,4500,3900,0.867,是,低,中,2,JOBF15F1A5951
3527,男,计算机,博士,自由职业,互联网,独立开发者,深圳,一线,10500,19600,1.867,否,高,中,5,JOBCE9F4B28D8
3528,女,环境工程,博士,就业,制造业,质量工程师,广州,一线,8000,11400,1.425,否,高,中,4,JOBCD50A44919
3529,女,汉语言文学,博士,公务员,政府,公共事务助理,上海,一线,6000,8400,1.4,是,低,中,4,JOB6817EDC38C
3530,男,金融学,硕士,公务员,政府机关,行政执法辅助岗,成都,新一线,4500,5100,1.133,是,低,中,3,JOBA728A6BBE9
3531,男,市场营销,博士,出国,金融,海外研究生,西安,新一线,4500,5200,1.156,是,中,高,5,JOBE127B4B8D6
3532,女,临床医学,硕士,公务员,政府机关,行政执法辅助岗,成都,新一线,7000,7500,1.071,是,低,中,3,JOBA728A6BBE9
3533,女,临床医学,博士,创业,医疗,项目负责人,武汉,新一线,4000,5900,1.475,是,高,高,5,JOB9447F05E42
3534,女,汉语言文学,本科,公务员,政府机关,基层治理专员,北京,一线,15000,16700,1.113,否,中,中,3,JOB349ECEEE2D
3535,女,土木工程,硕士,公务员,政府机关,公务员,北京,一线,6500,7700,1.185,否,低,中,3,JOB011D0AC4FF
3536,男,金融学,本科,出国,金融,海外管培生,广州,一线,12500,11500,0.92,是,高,中,4,JOBDE106D5741
3537,女,法学,博士,出国,政府机关,海外研究生,西安,新一线,9000,9300,1.033,是,高,高,5,JOBBDCA4D50B3
3538,男,计算机,本科,考研,教育,硕士研究生,青岛,新一线,14500,6100,0.421,否,低,中,2,JOBCC16E0C730
3539,男,环境工程,博士,创业,互联网,联合创始人,南京,新一线,15000,21300,1.42,是,低,中,4,JOBFE164CF12C
3540,男,计算机,本科,考研,科研,硕士研究生,上海,一线,12500,9300,0.744,否,中,中,2,JOBF7CF7F98AC
3541,女,法学,本科,自由职业,政府机关,内容创作者,青岛,新一线,11000,9900,0.9,是,高,中,4,JOB3A62CAC178
3542,男,金融学,硕士,公务员,政府机关,行政专员,上海,一线,11000,14000,1.273,否,低,中,4,JOBC515C12762
3543,女,汉语言文学,博士,考研,教育,博士后科研助理,西安,新一线,11000,8700,0.791,是,高,高,4,JOBF098539BEF
3544,女,市场营销,博士,就业,文化传媒,文案策划,上海,一线,6500,9000,1.385,否,中,中,4,JOB498183A31A
3545,男,市场营销,本科,考研,科研,硕士研究生,南京,新一线,13500,9300,0.689,是,低,中,3,JOB7C0522CCCB
3546,女,计算机,博士,就业,金融,财富顾问,南京,新一线,7000,11600,1.657,是,低,中,4,JOBF62DB30B1F
3547,女,计算机,本科,考研,科研,硕士研究生,西安,新一线,7500,4300,0.573,否,中,中,3,JOB970CE6FD49
3548,女,金融学,本科,自由职业,教育,项目制顾问,南京,新一线,9000,7600,0.844,是,低,中,3,JOB76661E223A
3549,男,环境工程,硕士,公务员,政府机关,事业单位职员,上海,一线,9000,11300,1.256,是,低,中,4,JOB796325D870
3550,女,临床医学,硕士,考研,教育,博士研究生,上海,一线,8000,6300,0.788,否,中,高,3,JOBF66B870592
3551,男,金融学,硕士,就业,银行,风险控制专员,西安,新一线,13500,17600,1.304,是,中,中,4,JOB62CF77E16C
3552,女,环境工程,博士,自由职业,文化传媒,自由职业者,广州,一线,6500,7100,1.092,是,低,中,3,JOB8E4F7A0EE0
3553,男,机械工程,硕士,就业,建筑,BIM工程师,成都,新一线,15000,17000,1.133,否,中,中,4,JOBB616092755
3554,男,电子信息,博士,创业,金融,联合创始人,上海,一线,4500,6700,1.489,否,低,中,4,JOB3D93E70B28
3555,男,环境工程,硕士,公务员,政府机关,基层治理专员,广州,一线,14500,15500,1.069,否,低,中,3,JOB30561BE606
3556,女,计算机,博士,出国,互联网,海外研究生,杭州,新一线,11500,15500,1.348,否,高,高,5,JOBA62B4C64E1
3557,男,临床医学,本科,自由职业,文化传媒,独立咨询顾问,青岛,新一线,14000,9800,0.7,是,低,中,2,JOB16725FC73E
3558,男,电子信息,本科,就业,科研,科研助理,西安,新一线,12500,12600,1.008,否,中,中,3,JOB99D52CC6BD
3559,女,土木工程,本科,考研,科研,硕士研究生,武汉,新一线,10500,5400,0.514,否,低,中,2,JOBB78D3DD1D3
3560,男,土木工程,博士,公务员,政府,政策研究员,杭州,新一线,13000,15300,1.177,否,低,高,4,JOB6EBE46791B
3561,女,金融学,博士,创业,金融,项目负责人,广州,一线,7000,10800,1.543,否,高,中,5,JOB9ACDDA832D
3562,男,环境工程,博士,自由职业,文化传媒,自由职业者,成都,新一线,4000,4100,1.025,是,低,中,4,JOBAC829F0413
3563,女,计算机,博士,考研,科研,博士后科研助理,青岛,新一线,8500,6900,0.812,是,中,高,3,JOBD415363373
3564,男,计算机,本科,出国,制造业,海外软件工程师,南京,新一线,14500,12300,0.848,是,中,中,3,JOBDD6B03196B
3565,女,土木工程,博士,自由职业,文化传媒,独立咨询顾问,成都,新一线,9500,8600,0.905,否,低,中,3,JOBBB831DCD1D
3566,男,法学,硕士,创业,互联网,产品创业者,杭州,新一线,10000,13300,1.33,是,低,高,4,JOB5657B20179
3567,男,计算机,博士,考研,科研,博士后科研助理,广州,一线,14000,12600,0.9,否,中,高,4,JOB05DB2EE3D2
3568,女,临床医学,硕士,自由职业,教育,自由职业者,深圳,一线,4500,4800,1.067,是,中,中,4,JOB4F1AB70D58
3569,男,计算机,本科,出国,制造业,海外研发助理,西安,新一线,12500,8500,0.68,是,中,中,3,JOBCAD7C4A384
3570,男,环境工程,本科,考研,教育,硕士研究生,广州,一线,10500,5400,0.514,是,低,中,2,JOB80DFE0EBE6
3571,女,计算机,硕士,考研,科研,博士研究生,深圳,一线,13500,12500,0.926,是,中,高,4,JOB83674EAAFC
3572,男,汉语言文学,博士,考研,科研,博士后科研助理,南京,新一线,8000,7100,0.888,是,低,高,3,JOB4735F4166E
3573,女,电子信息,本科,创业,文化传媒,创业者,上海,一线,11000,8400,0.764,否,低,中,1,JOBC7FC7741EA
3574,男,金融学,博士,出国,互联网,海外项目助理,北京,一线,4000,5800,1.45,是,中,高,5,JOBC86CF32E6A
3575,男,临床医学,硕士,考研,科研,博士研究生,北京,一线,11000,10000,0.909,是,中,高,4,JOB9E2EB30906
3576,女,计算机,博士,考研,科研,博士后科研助理,深圳,一线,8500,8900,1.047,是,中,高,5,JOBA4ECAA4E99
3577,女,计算机,硕士,考研,科研,博士研究生,西安,新一线,5500,4400,0.8,是,中,高,4,JOBD91F11ECB7
3578,女,市场营销,博士,就业,房地产,项目运营专员,西安,新一线,7500,9500,1.267,否,低,中,3,JOB336397764A
3579,男,环境工程,硕士,自由职业,文化传媒,内容创作者,西安,新一线,9000,7300,0.811,是,低,中,3,JOBD3E5D97A0E
3580,男,法学,硕士,就业,政府机关,公务员,武汉,新一线,7000,8700,1.243,否,高,中,4,JOB8BE15BD7F9
3581,女,金融学,本科,出国,金融,海外研究生,上海,一线,12000,13500,1.125,是,高,中,4,JOB2558004AF7
3582,女,机械工程,本科,创业,制造业,项目负责人,武汉,新一线,10500,9100,0.867,否,高,中,3,JOBD48F0721B3
3583,男,法学,硕士,自由职业,教育,内容创作者,青岛,新一线,11500,10800,0.939,是,低,中,3,JOBBF1E127B80
3584,男,机械工程,本科,考研,科研,硕士研究生,武汉,新一线,5000,3200,0.64,否,中,中,2,JOBB78D3DD1D3
3585,男,电子信息,博士,创业,互联网,项目负责人,南京,新一线,5500,9000,1.636,是,高,中,5,JOB86CBF5BFD2
3586,女,机械工程,硕士,自由职业,教育,内容创作者,上海,一线,9000,10600,1.178,是,低,中,3,JOB959BF88923
3587,女,计算机,博士,公务员,政府机关,选调生,成都,新一线,4000,5000,1.25,是,低,中,3,JOB2EC2A27BAB
3588,女,机械工程,博士,自由职业,制造业,内容创作者,成都,新一线,13000,17500,1.346,是,高,中,4,JOBA1E65AD122
3589,女,计算机,硕士,出国,制造业,海外研发助理,南京,新一线,12500,11100,0.888,是,中,高,4,JOBC1008A168B
3590,女,临床医学,本科,就业,科研,科研助理,北京,一线,12000,14600,1.217,否,中,中,4,JOB0F2282C7D5
3591,男,电子信息,本科,出国,互联网,海外软件工程师,深圳,一线,15000,15100,1.007,是,高,中,4,JOB3F4BD08B7D
3592,男,计算机,本科,出国,制造业,海外研究生,深圳,一线,14500,12800,0.883,是,中,中,3,JOBA2B1FBB420
3593,男,环境工程,博士,创业,互联网,产品创业者,广州,一线,4000,5800,1.45,否,低,中,4,JOB0C50C87624
3594,女,汉语言文学,博士,自由职业,互联网,内容创作者,武汉,新一线,10000,13700,1.37,是,低,中,3,JOB53459A2378
3595,女,法学,硕士,出国,教育,海外项目助理,西安,新一线,5000,2900,0.58,否,低,高,2,JOBFAD07BAB4C
3596,女,临床医学,本科,考研,科研,硕士研究生,北京,一线,12000,8700,0.725,否,中,中,3,JOB41919EDEE6
3597,女,电子信息,博士,考研,科研,博士后科研助理,西安,新一线,11500,9000,0.783,否,中,高,2,JOBD59E1314F8
3598,男,计算机,博士,创业,金融,产品创业者,深圳,一线,5500,9300,1.691,否,低,中,3,JOBCC37CEE6CB
3599,女,临床医学,硕士,自由职业,医疗,自由职业者,西安,新一线,6000,7700,1.283,是,高,高,5,JOB69A59D7AC5
3600,男,电子信息,博士,创业,金融,工作室负责人,西安,新一线,13500,16800,1.244,是,低,中,4,JOBE306C4D2C0
3601,女,市场营销,硕士,就业,文化传媒,编辑,青岛,新一线,5000,4900,0.98,否,中,中,3,JOBF464C32C2F
3602,男,环境工程,本科,创业,建筑,创业者,广州,一线,5500,6000,1.091,是,中,中,4,JOB83C4C994EB
3603,女,汉语言文学,博士,自由职业,文化传媒,自由撰稿人,广州,一线,4000,4900,1.225,否,中,中,4,JOBA7CBCE4BC6
3604,男,机械工程,硕士,就业,科研,科研助理,上海,一线,12000,20700,1.725,是,中,高,4,JOBBE1078B486
3605,女,法学,硕士,就业,政府机关,行政执法辅助岗,广州,一线,6000,7800,1.3,否,高,中,4,JOB12F4F6CBFB
3606,男,电子信息,博士,就业,科研,研究员,广州,一线,7000,10100,1.443,否,中,高,4,JOBB815759B02
3607,女,电子信息,本科,自由职业,互联网,自由产品顾问,西安,新一线,13500,15600,1.156,否,高,中,5,JOBA01D8E54A1
3608,女,环境工程,本科,就业,科研,研究员,成都,新一线,9000,8300,0.922,否,低,低,2,JOB37304193C5
3609,女,电子信息,硕士,出国,互联网,海外研发助理,青岛,新一线,11500,11700,1.017,是,高,高,5,JOB3B822C202E
3610,女,汉语言文学,本科,就业,教育,课程顾问,北京,一线,8500,9900,1.165,是,高,中,4,JOB48CF77C666
3611,女,环境工程,本科,自由职业,教育,项目制顾问,成都,新一线,14000,11200,0.8,否,低,中,2,JOB9096DF523A
3612,女,金融学,博士,考研,教育,博士后科研助理,成都,新一线,7500,5500,0.733,是,低,高,2,JOB7E2624F06E
3613,女,金融学,本科,创业,金融,工作室负责人,青岛,新一线,13500,13800,1.022,否,高,中,4,JOBDAA16B286F
3614,女,计算机,博士,自由职业,文化传媒,自由产品顾问,西安,新一线,9500,8600,0.905,否,低,中,2,JOB88B789643D
3615,女,电子信息,本科,创业,文化传媒,项目负责人,广州,一线,14000,11500,0.821,是,低,中,2,JOBF3ABE2A7EA
3616,男,市场营销,本科,考研,教育,硕士研究生,西安,新一线,12000,5700,0.475,否,低,中,2,JOB217D067F1F
3617,女,汉语言文学,博士,就业,教育,课程顾问,深圳,一线,9500,14600,1.537,是,高,高,5,JOB0833E93A24
3618,男,法学,博士,考研,教育,博士后科研助理,上海,一线,4500,3800,0.844,否,低,高,2,JOB6265F67F1C
3619,女,环境工程,本科,公务员,政府,公共事务助理,西安,新一线,5000,4200,0.84,否,中,中,3,JOB78CD216E70
3620,女,电子信息,本科,自由职业,文化传媒,独立开发者,上海,一线,14000,13300,0.95,否,低,中,3,JOB2D4C4B78F2
3621,男,法学,硕士,出国,教育,海外研究生,深圳,一线,8000,6200,0.775,否,低,高,2,JOB5929F5E6B9
3622,女,临床医学,本科,公务员,政府机关,公务员,北京,一线,12500,12500,1,否,低,中,2,JOB011D0AC4FF
3623,男,电子信息,本科,就业,制造业,生产管理专员,广州,一线,9000,11100,1.233,是,中,中,4,JOB0019AE85CC
3624,女,机械工程,硕士,就业,互联网,运营专员,西安,新一线,6000,7800,1.3,否,低,高,3,JOBEB3260DC3F
3625,男,法学,本科,考研,科研,硕士研究生,南京,新一线,10000,5400,0.54,否,低,中,2,JOB7C0522CCCB
3626,女,土木工程,本科,公务员,政府机关,选调生,上海,一线,6000,6700,1.117,否,低,中,3,JOB3E3FDC1BDA
3627,女,临床医学,博士,考研,教育,博士后科研助理,武汉,新一线,12000,8500,0.708,是,中,高,4,JOB8A846DE0C4
3628,男,环境工程,硕士,就业,政府,行政专员,深圳,一线,12500,17700,1.416,是,中,中,4,JOB42D43820D9
3629,男,法学,硕士,公务员,政府,行政专员,南京,新一线,15000,17900,1.193,是,中,中,4,JOBFE64C385E3
3630,男,土木工程,本科,出国,教育,海外项目助理,北京,一线,8000,6400,0.8,是,低,中,2,JOB3A1DB7C0C2
3631,男,电子信息,博士,创业,互联网,联合创始人,西安,新一线,15000,25100,1.673,是,高,中,5,JOBB06DC02133
3632,女,计算机,硕士,自由职业,教育,自由数据分析师,广州,一线,8000,8500,1.062,是,低,中,3,JOB5B0F0D4E5F
3633,男,市场营销,硕士,考研,教育,博士后科研助理,成都,新一线,7500,4500,0.6,否,低,高,2,JOB7E2624F06E
3634,男,金融学,本科,自由职业,金融,独立咨询顾问,青岛,新一线,6000,6300,1.05,是,高,中,4,JOB32A5AC1640
3635,男,土木工程,硕士,创业,互联网,工作室负责人,杭州,新一线,15000,22500,1.5,是,低,高,4,JOB7753C746BC
3636,男,机械工程,硕士,公务员,政府,行政专员,西安,新一线,7000,5900,0.843,否,低,中,2,JOB045CC162CF
3637,男,计算机,硕士,就业,科研,科研助理,北京,一线,6000,8700,1.45,是,中,高,5,JOB0F2282C7D5
3638,男,计算机,硕士,自由职业,文化传媒,独立开发者,广州,一线,7000,6900,0.986,否,低,中,2,JOBAD88BC4566
3639,男,法学,博士,出国,政府机关,海外项目助理,杭州,新一线,11500,12200,1.061,是,高,高,5,JOBA0CE8A0D34
3640,女,市场营销,本科,就业,房地产,策划专员,上海,一线,7000,8800,1.257,否,低,中,3,JOB45908EC911
3641,女,临床医学,硕士,就业,医疗,医学检验师,广州,一线,7500,13200,1.76,是,高,高,5,JOBE0F050DCC2
3642,男,电子信息,博士,公务员,政府机关,选调生,北京,一线,13000,18000,1.385,否,低,中,3,JOB16650AB823
3643,女,计算机,博士,公务员,政府机关,公务员,杭州,新一线,13500,19400,1.437,是,低,中,4,JOB56CDE430EC
3644,女,环境工程,硕士,就业,制造业,设备工程师,青岛,新一线,13500,17000,1.259,是,高,中,5,JOB5BEBBF46BB
3645,男,法学,博士,公务员,政府机关,政策研究员,深圳,一线,6500,11900,1.831,否,高,高,5,JOB9982DBE5B7
3646,女,环境工程,本科,考研,科研,硕士研究生,青岛,新一线,4000,2500,0.625,否,低,中,1,JOBF30BD48B94
3647,男,法学,硕士,出国,政府机关,海外研究助理,西安,新一线,4500,4000,0.889,是,高,高,4,JOB17E30F57DE
3648,男,计算机,本科,公务员,政府,政策研究员,深圳,一线,15000,15500,1.033,是,低,低,3,JOB0C91BE0DB3
3649,女,机械工程,博士,公务员,政府,事业单位职员,广州,一线,12500,15400,1.232,否,低,中,3,JOBA790977A48
3650,男,金融学,本科,考研,科研,硕士研究生,深圳,一线,12000,9800,0.817,是,低,中,2,JOB68C70DA860
3651,男,电子信息,本科,创业,文化传媒,项目负责人,杭州,新一线,12500,10500,0.84,是,低,中,2,JOB9C00E2E121
3652,男,临床医学,硕士,自由职业,教育,项目制顾问,西安,新一线,5000,4400,0.88,是,中,中,3,JOB56C2809E64
3653,男,土木工程,硕士,自由职业,文化传媒,项目制顾问,武汉,新一线,12000,10700,0.892,是,低,中,3,JOB880249D052
3654,男,电子信息,博士,就业,制造业,产品工程师,青岛,新一线,6000,8100,1.35,是,中,中,4,JOB72CB7414A0
3655,男,汉语言文学,博士,公务员,政府机关,行政专员,西安,新一线,6500,7100,1.092,否,中,中,4,JOBF5C18E399A
3656,男,法学,博士,就业,政府机关,事业单位职员,北京,一线,8500,16000,1.882,是,高,中,4,JOBC0E562A200
3657,女,法学,博士,出国,教育,海外项目助理,成都,新一线,4000,3300,0.825,是,低,高,2,JOBAE1465B6ED
3658,女,环境工程,硕士,就业,科研,科研助理,西安,新一线,8000,8400,1.05,是,低,高,3,JOB99D52CC6BD
3659,女,汉语言文学,本科,考研,科研,硕士研究生,成都,新一线,13500,7700,0.57,否,低,中,1,JOBCE75C1D46D
3660,女,机械工程,硕士,自由职业,教育,自由职业者,成都,新一线,5000,4300,0.86,否,低,中,2,JOBA2ECC39D51
3661,女,市场营销,博士,考研,科研,博士后科研助理,深圳,一线,7000,6300,0.9,是,低,高,3,JOBA4ECAA4E99
3662,男,金融学,博士,公务员,政府机关,政策研究员,成都,新一线,10000,10500,1.05,否,低,高,4,JOB5E50BF9F47
3663,女,汉语言文学,博士,自由职业,互联网,课程创作者,深圳,一线,9500,16700,1.758,否,低,中,3,JOBADAD007D5E
3664,男,计算机,硕士,创业,金融,产品创业者,武汉,新一线,10000,10800,1.08,否,低,高,4,JOBCF1646DB1A
3665,女,临床医学,本科,自由职业,医疗,内容创作者,武汉,新一线,5500,6000,1.091,是,高,中,4,JOB8A7D64ECB7
3666,男,法学,本科,自由职业,教育,独立咨询顾问,杭州,新一线,10500,9500,0.905,是,低,中,2,JOB7AE87A61A8
3667,男,市场营销,硕士,公务员,政府机关,公共事务助理,北京,一线,11500,15400,1.339,是,低,中,4,JOB816BB592F1
3668,男,汉语言文学,硕士,就业,教育,教师,广州,一线,5500,7100,1.291,否,高,中,4,JOB9E40D25D25
3669,女,电子信息,本科,自由职业,文化传媒,网站开发者,上海,一线,6000,5900,0.983,是,低,中,3,JOBB8249BD220
3670,女,机械工程,硕士,公务员,政府机关,事业单位职员,武汉,新一线,12000,11200,0.933,否,低,中,2,JOB8BEBBDEEC3
3671,女,市场营销,本科,创业,文化传媒,产品创业者,上海,一线,5500,5000,0.909,否,中,中,3,JOB9AE30436EE
3672,男,电子信息,博士,就业,科研,研究员,西安,新一线,13500,17800,1.319,否,中,高,4,JOB79048A3A88
3673,男,法学,博士,出国,科研,海外项目助理,南京,新一线,11000,10300,0.936,是,低,高,3,JOB654C37F38C
3674,男,临床医学,硕士,考研,科研,博士研究生,青岛,新一线,15000,11200,0.747,是,中,高,3,JOB3B39AB2772
3675,女,金融学,硕士,创业,银行,联合创始人,南京,新一线,4500,5100,1.133,否,中,中,4,JOB28D7FBC7FA
3676,女,计算机,博士,就业,金融,风控分析师,北京,一线,7500,14100,1.88,否,低,中,3,JOB7EBC19514F
3677,男,汉语言文学,博士,考研,科研,博士后科研助理,广州,一线,7000,5700,0.814,是,低,高,3,JOB05DB2EE3D2
3678,女,机械工程,硕士,就业,互联网,产品经理,广州,一线,9500,14900,1.568,是,低,高,4,JOBA1E4A53BA3
3679,男,市场营销,本科,出国,互联网,海外管培生,杭州,新一线,6500,6700,1.031,否,高,中,4,JOB27CB8D2103
3680,男,临床医学,硕士,考研,科研,博士研究生,杭州,新一线,12500,11100,0.888,是,中,高,4,JOB3855196193
3681,男,临床医学,博士,出国,科研,海外研究助理,武汉,新一线,14000,12600,0.9,否,中,高,3,JOB455EC074A2
